Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-69580,"p53-Dependent G1/S DNA damage checkpoint",1,57,0.003507476462986893,0.6339193573952793,0.6339193573952793,2,22,0.0013673938715892846,9606,Homo sapiens,"CHEK2","","R-HSA-69685;R-HSA-349426"
R-HSA-69563,"p53-Dependent G1 DNA Damage Response",1,57,0.003507476462986893,0.6339193573952793,0.6339193573952793,2,22,0.0013673938715892846,9606,Homo sapiens,"CHEK2","","R-HSA-69685;R-HSA-349426"
R-HSA-380108,"Chemokine receptors bind chemokines",1,57,0.003507476462986893,0.6339193573952793,0.6339193573952793,1,19,0.0011809310709180185,9606,Homo sapiens,"CCL16","","R-HSA-373073"
R-HSA-1483249,"Inositol phosphate metabolism",2,125,0.007691834348655467,0.6465260111005848,0.6465260111005848,10,71,0.004412952949219964,9606,Homo sapiens,"ISYNA1;NUP210","","R-HSA-1855212;R-HSA-1855161;R-HSA-1855178;R-HSA-1855220;R-HSA-1855188;R-HSA-1855173;R-HSA-1855190;R-HSA-1855168;R-HSA-1855201;R-HSA-1855203"
R-HSA-9013409,"RHOJ GTPase cycle",1,59,0.0036305458125653806,0.6466250273275935,0.6466250273275935,1,3,1.8646280067126608E-4,9606,Homo sapiens,"ARHGAP26","","R-HSA-9017488"
R-HSA-3371571,"HSF1-dependent transactivation",1,59,0.0036305458125653806,0.6466250273275935,0.6466250273275935,2,8,4.972341351233762E-4,9606,Homo sapiens,"HSP90AB1","","R-HSA-5324617;R-HSA-5082356"
R-HSA-9864848,"Complex IV assembly",1,59,0.0036305458125653806,0.6466250273275935,0.6466250273275935,1,9,5.593884020137983E-4,9606,Homo sapiens,"NDUFA4","","R-HSA-9865663"
R-HSA-418555,"G alpha (s) signalling events",3,190,0.01169158820995631,0.6508523695313787,0.6508523695313787,9,28,0.0017403194729318167,9606,Homo sapiens,"GNB2;GNB3;GNAI2","","R-HSA-379044;R-HSA-392129;R-HSA-9036301;R-HSA-9036307;R-HSA-9624014;R-HSA-744887;R-HSA-9036308;R-HSA-744886;R-HSA-751013"
R-HSA-5621481,"C-type lectin receptors (CLRs)",3,190,0.01169158820995631,0.6508523695313787,0.6508523695313787,6,68,0.004226490148548698,9606,Homo sapiens,"ITPR1;KRAS","","R-HSA-5621573;R-HSA-169683;R-HSA-169680;R-HSA-5624486;R-HSA-5624492;R-HSA-5624494"
R-HSA-6794361,"Neurexins and neuroligins",1,60,0.0036920804873546245,0.6528120938178286,0.6528120938178286,1,19,0.0011809310709180185,9606,Homo sapiens,"DBNL","","R-HSA-6797554"
R-HSA-9634815,"Transcriptional Regulation by NPAS4",1,60,0.0036920804873546245,0.6528120938178286,0.6528120938178286,2,46,0.002859096276959413,9606,Homo sapiens,"SRF","","R-HSA-9768832;R-HSA-9768829"
R-HSA-9909648,"Regulation of PD-L1(CD274) expression",3,191,0.011753122884745554,0.6543309154482557,0.6543309154482557,3,56,0.0034806389458636334,9606,Homo sapiens,"STAT1;JAK1","","R-HSA-9909623;R-HSA-9931290;R-HSA-9909657"
R-HSA-5628897,"TP53 Regulates Metabolic Genes",2,128,0.007876438373023199,0.659255727034483,0.659255727034483,3,34,0.002113245074274349,9606,Homo sapiens,"YWHAE;NDUFA4","","R-HSA-5632738;R-HSA-5632732;R-HSA-163214"
R-HSA-4551638,"SUMOylation of chromatin organization proteins",1,62,0.0038151498369331117,0.6648642415580241,0.6648642415580241,2,15,9.323140033563305E-4,9606,Homo sapiens,"NUP210","","R-HSA-4615987;R-HSA-4615872"
R-HSA-156588,"Glucuronidation",1,62,0.0038151498369331117,0.6648642415580241,0.6648642415580241,1,13,8.080054695754863E-4,9606,Homo sapiens,"UGT2B4","","R-HSA-174931"
R-HSA-195721,"Signaling by WNT",5,320,0.019691095932557995,0.6650625347705487,0.6650625347705487,22,157,0.009758219901796258,9606,Homo sapiens,"PPP2R1A;GNB2;ITPR1;GNB3;KRAS","","R-HSA-4332359;R-HSA-195300;R-HSA-3601585;R-HSA-2130279;R-HSA-195275;R-HSA-195304;R-HSA-2130282;R-HSA-2130286;R-HSA-5229343;R-HSA-195283;R-HSA-195251;R-HSA-169680;R-HSA-195280;R-HSA-195318;R-HSA-195287;R-HSA-201685;R-HSA-398193;R-HSA-4420052;R-HSA-3965444;R-HSA-3965447;R-HSA-3965441;R-HSA-398040"
R-HSA-8953897,"Cellular responses to stimuli",19,1166,0.0717494308042582,0.6688135508472759,0.6688135508472759,69,613,0.038100565603828705,9606,Homo sapiens,"YWHAE;HSP90AB1;NUP210;ATF6B;NDUFA4;STAT1;NCOA6;NUDT2;ESR1;TXN2;PPP2R1A;GNB2;GRB10;GNB3;TRIB3;MAP2K7","","R-HSA-9865238;R-HSA-9865748;R-HSA-5324632;R-HSA-9726621;R-HSA-400143;R-HSA-1791121;R-HSA-9725855;R-HSA-163214;R-HSA-4793925;R-HSA-8874122;R-HSA-9841817;R-HSA-5696197;R-HSA-1368065;R-HSA-9653894;R-HSA-5324617;R-HSA-3323050;R-HSA-1791107;R-HSA-5252041;R-HSA-9654792;R-HSA-9865226;R-HSA-8874138;R-HSA-8874137;R-HSA-1791163;R-HSA-9861300;R-HSA-9865524;R-HSA-9865520;R-HSA-8874145;R-HSA-9725885;R-HSA-9865511;R-HSA-3371527;R-HSA-9690534;R-HSA-8874162;R-HSA-1791150;R-HSA-5082356;R-HSA-9726509;R-HSA-9861293;R-HSA-9706837;R-HSA-3322995;R-HSA-9635927;R-HSA-9709406;R-HSA-381135;R-HSA-5618073;R-HSA-9705925;R-HSA-9705926;R-HSA-420818;R-HSA-9861324;R-HSA-9856845;R-HSA-9635912;R-HSA-3371503;R-HSA-9678925;R-HSA-8985943;R-HSA-3697894;R-HSA-9726580;R-HSA-168162;R-HSA-5082409;R-HSA-5618099;R-HSA-9841265;R-HSA-5618098;R-HSA-381026;R-HSA-5618110;R-HSA-5618105;R-HSA-5618107;R-HSA-5618085;R-HSA-3371586;R-HSA-1791082;R-HSA-5618080;R-HSA-8985983;R-HSA-5618093;R-HSA-9856620"
R-HSA-913531,"Interferon Signaling",8,507,0.031198080118146575,0.6706029999825825,0.6706029999825825,51,157,0.009758219901796258,9606,Homo sapiens,"NUP210;STAT1;PPP2R1A;PIM1;JAK1","","R-HSA-9730967;R-HSA-9732753;R-HSA-9734547;R-HSA-909725;R-HSA-909724;R-HSA-909726;R-HSA-909721;R-HSA-909720;R-HSA-9732738;R-HSA-909722;R-HSA-1015702;R-HSA-909719;R-HSA-909718;R-HSA-1015699;R-HSA-9696179;R-HSA-912680;R-HSA-9835443;R-HSA-909732;R-HSA-9954237;R-HSA-1031716;R-HSA-909729;R-HSA-1031713;R-HSA-909730;R-HSA-997311;R-HSA-873917;R-HSA-873919;R-HSA-997309;R-HSA-873918;R-HSA-997326;R-HSA-9678935;R-HSA-873924;R-HSA-873927;R-HSA-873926;R-HSA-873921;R-HSA-997314;R-HSA-873922;R-HSA-877269;R-HSA-1678841;R-HSA-9962876;R-HSA-9710963;R-HSA-1176059;R-HSA-877281;R-HSA-9732729;R-HSA-9833723;R-HSA-9836664;R-HSA-1169406;R-HSA-877308;R-HSA-9678561;R-HSA-913529;R-HSA-9710959;R-HSA-909552"
R-HSA-2029485,"Role of phospholipids in phagocytosis",2,131,0.00806104239739093,0.6716166033679607,0.6716166033679607,3,12,7.458512026850643E-4,9606,Homo sapiens,"PRKCE;ITPR1","","R-HSA-169683;R-HSA-169680;R-HSA-198314"
R-HSA-1592230,"Mitochondrial biogenesis",2,131,0.00806104239739093,0.6716166033679607,0.6716166033679607,6,36,0.002237553608055193,9606,Homo sapiens,"NCOA6;PPARGC1B","","R-HSA-2466369;R-HSA-1592238;R-HSA-2466370;R-HSA-1592245;R-HSA-1592247;R-HSA-1592231"
R-HSA-2980736,"Peptide hormone metabolism",2,131,0.00806104239739093,0.6716166033679607,0.6716166033679607,2,67,0.004164335881658276,9606,Homo sapiens,"GNB3;CES3","","R-HSA-9619024;R-HSA-383313"
